iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6,rtc_applied,frozen_steps_used,executed_steps_sent,latency_ema_s,swap_offset
0,1784628599.291393,98360.928021596,0.0,0,,,0,-0.03035605698823929,0.19946914911270142,0.10667438060045242,-0.13975396752357483,-0.13342741131782532,-0.05331529304385185,0.09943242371082306,-0.0005779319326393306,-6.919972656760365e-05,-0.0005754129379056394,-6.880355795146897e-05,-0.0012667460832744837,-0.002937730634585023,-4.271445050108014e-06,0.17071187496185303,-0.2026909440755844,-0.15026266872882843,-0.39673495292663574,0.1561075747013092,-0.04572545364499092,-0.04212290421128273,0.0025810403749346733,0.00016495439922437072,0.0012400654377415776,0.00016402265464421362,-0.005632665008306503,0.0037711048498749733,5.676321507053217e-06,-0.058388762176036835,0.2191365510225296,0.1084631085395813,-0.2360752373933792,-0.14676310122013092,-0.06801862269639969,0.19663482904434204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11686159670352936,-0.22336409986019135,-0.1953890174627304,-0.48043185472488403,0.09038661420345306,-0.005650314502418041,-0.045687235891819,0.005859375,0.0,0.0,0.0,0.003596114693209529,-0.0013671874767169356,-0.0013671874767169356,,,,,
1,1784628599.341515,98360.978143853,0.05012225700193085,0,,,1,-0.03035883978009224,0.19946891069412231,0.10667352378368378,-0.1397530436515808,-0.13342750072479248,-0.05331432446837425,0.099432073533535,-0.0005802568630315363,-6.947224756004289e-05,-0.0005777481128461659,-6.907769420649856e-05,-0.0012706569395959377,-0.002950190333649516,-4.269015789759578e-06,0.17070922255516052,-0.20269112288951874,-0.15026243031024933,-0.39673376083374023,0.15610761940479279,-0.045724350959062576,-0.042122822254896164,0.002591890748590231,0.00016563746612519026,0.0012452572118490934,0.0001647029275773093,-0.005649668630212545,0.003788304515182972,5.674130534316646e-06,-0.05984598398208618,0.21719418466091156,0.09993705153465271,-0.2360752373933792,-0.1491907387971878,-0.058138489723205566,0.21131038665771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11300144344568253,-0.22336409986019135,-0.20696383714675903,-0.48858678340911865,0.10972896963357925,0.0010991599410772324,-0.03763878718018532,0.01171875,0.0087890625,0.0,0.005859375,-0.0013250198680907488,-0.004101562313735485,-0.004101562313735485,,,,,
2,1784628599.3915386,98361.028167401,0.05002354799944442,0,,,2,-0.02954798936843872,0.20020373165607452,0.10235889256000519,-0.1432742476463318,-0.1341984122991562,-0.044581953436136246,0.12108980864286423,-0.0005981537397019565,-7.254543015733361e-05,-0.0005959687405265868,-7.217983511509374e-05,-0.0012772500049322844,-0.0029777553863823414,-4.653551059163874e-06,0.16054894030094147,-0.2029203623533249,-0.1546134650707245,-0.39707499742507935,0.14313562214374542,-0.023333102464675903,-0.041971951723098755,0.002632546005770564,0.0001690243516350165,0.0012618962209671736,0.00016707136819604784,-0.0056254807859659195,0.0038303937762975693,5.023238372814376e-06,-0.05984598398208618,0.22107893228530884,0.09339379519224167,-0.24573145806789398,-0.15890125930309296,-0.04543545842170715,0.21681372821331024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12072174996137619,-0.22050440311431885,-0.20696383714675903,-0.49878042936325073,0.12354493886232376,0.032596707344055176,-0.051052868366241455,0.0,0.0,0.0,0.0,0.00031535830930806696,0.0,0.0,,,,,
3,1784628599.4414742,98361.078103208,0.049935806993744336,0,,,3,-0.02866741456091404,0.20059961080551147,0.09651249647140503,-0.14683949947357178,-0.13618960976600647,-0.03375605493783951,0.14512009918689728,-0.000603049120400101,-7.327613275265321e-05,-0.0006014137179590762,-7.298805576283485e-05,-0.0012814326910302043,-0.0029893717728555202,-4.3336162889318075e-06,0.14961224794387817,-0.20377762615680695,-0.16300396621227264,-0.3973117470741272,0.13138823211193085,0.001197631354443729,-0.0415569469332695,0.0026718326844274998,0.0001807689550332725,0.0012784522259607911,0.00017585446767043322,-0.005580148193985224,0.003842152189463377,8.100119543996698e-07,-0.05911737307906151,0.22107893228530884,0.08922991156578064,-0.2521689534187317,-0.1694210171699524,-0.034143876284360886,0.23148930072784424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12072174996137619,-0.22145764529705048,-0.21853864192962646,-0.5130515694618225,0.1401240974664688,0.05959460511803627,-0.045687235891819,0.0,0.0,0.0,0.0,-0.0017351144924759865,0.0,0.0,,,,,
4,1784628599.491633,98361.128261615,0.050158407000708394,0,,,4,-0.027534959837794304,0.2011096328496933,0.0890236422419548,-0.14980179071426392,-0.14053583145141602,-0.019184112548828125,0.1714993119239807,-0.0005990174831822515,-7.240223203552887e-05,-0.0005976203246973455,-7.214752986328676e-05,-0.0012873406521975994,-0.0030023318249732256,-3.879231826431351e-06,0.14267119765281677,-0.2043248414993286,-0.17533916234970093,-0.4027934968471527,0.12758097052574158,0.028761625289916992,-0.04079161956906319,0.002721928060054779,0.0002161940501537174,0.001292495522648096,0.0002005087590077892,-0.0055457004345953465,0.003835533047094941,-1.1097307833551895e-05,-0.05911737307906151,0.2191365510225296,0.08645398169755936,-0.2586064338684082,-0.17306245863437653,-0.02567518875002861,0.23699264228343964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975608229637146,-0.2195511758327484,-0.19924728572368622,-0.5069353580474854,0.17604561150074005,0.05509495735168457,-0.03227315470576286,0.0,0.0,0.0,0.0,-0.0005048307939432561,0.0,0.0,,,,,
5,1784628599.5414248,98361.178053265,0.04979165000258945,0,,,5,-0.026362955570220947,0.20239880681037903,0.08413317799568176,-0.15370921790599823,-0.14595045149326324,-0.007967961020767689,0.1863355040550232,-0.0005937026580795646,-7.142229878809303e-05,-0.0005930084735155106,-7.1280388510786e-05,-0.0012920318404212594,-0.003012034110724926,-3.743061824934557e-06,0.1426437646150589,-0.2043435275554657,-0.1807774156332016,-0.41117486357688904,0.12751534581184387,0.05020441487431526,-0.04100736603140831,0.002726593753322959,0.0002200428571086377,0.001299421419389546,0.00020345443044789135,-0.005518598016351461,0.0038429959677159786,-8.939317922340706e-06,-0.05984598398208618,0.22010774910449982,0.08010900765657425,-0.2634345591068268,-0.17994076013565063,-0.014383605681359768,0.23882707953453064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.22050440311431885,-0.2339717298746109,-0.5089740753173828,0.18433518707752228,0.07309355586767197,-0.005444991402328014,0.0,0.0,0.0,0.0,-0.0005048307939432561,-0.0013671874767169356,0.0,,,,,
6,1784628599.5915165,98361.22814532,0.05009205499663949,0,,,6,-0.02544718235731125,0.20295755565166473,0.0789588913321495,-0.160847470164299,-0.15450064837932587,0.006255309097468853,0.20418326556682587,-0.0005867304862476885,-7.018277392489836e-05,-0.0005866589490324259,-7.0145761128515e-05,-0.0012983293272554874,-0.0030237294267863035,-3.5443872548057698e-06,0.13953666388988495,-0.20433266460895538,-0.1860790103673935,-0.4192803204059601,0.13434875011444092,0.07653503865003586,-0.0408422090113163,0.0027207520324736834,0.0002198629517806694,0.0013065985403954983,0.00020415826293174177,-0.005492766387760639,0.003863041987642646,-2.7749783839681186e-06,-0.06567485630512238,0.22205011546611786,0.07416059821844101,-0.26665329933166504,-0.18115457892417908,-0.011560710147023201,0.25350266695022583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12072174996137619,-0.2224108725786209,-0.25712135434150696,-0.5089740753173828,0.18709838390350342,0.08209285140037537,-7.935889152577147e-05,0.0,0.0,0.0,0.0,0.00113554741255939,0.0,0.0,,,,,
7,1784628599.6414242,98361.278052811,0.049907491003978066,0,,,7,-0.025402259081602097,0.2030278593301773,0.07547710090875626,-0.16561119258403778,-0.15941666066646576,0.014418128877878189,0.21263402700424194,-0.000581033353228122,-6.918242434039712e-05,-0.0005810779402963817,-6.916705751791596e-05,-0.0013022074708715081,-0.003026457503437996,-3.143728690702119e-06,0.13399340212345123,-0.2041883021593094,-0.18693803250789642,-0.4199887216091156,0.14420641958713531,0.08820150047540665,-0.03683853894472122,0.002710229717195034,0.000218536049942486,0.0013019145699217916,0.00020302130724303424,-0.005471592769026756,0.0038687691558152437,7.306769589376927e-08,-0.06567485630512238,0.2239924818277359,0.07217779755592346,-0.26665329933166504,-0.1973387897014618,-0.0016805753111839294,0.25533708930015564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11300144344568253,-0.22050440311431885,-0.26097962260246277,-0.529361367225647,0.22025670111179352,0.10234127938747406,0.012664019130170345,0.005859375,0.0,0.0,0.0,-0.0005048307939432561,0.0,-0.0013671874767169356,,,,,
8,1784628599.6915474,98361.328175727,0.05012291599996388,0,,,8,-0.02594490349292755,0.20328083634376526,0.06701212376356125,-0.17321887612342834,-0.16706278920173645,0.02642962522804737,0.22387908399105072,-0.0005803770036436617,-6.901381129864603e-05,-0.0005800158833153546,-6.89406442688778e-05,-0.0013084022793918848,-0.0030363171827048063,-3.165773023283691e-06,0.13380292057991028,-0.20387038588523865,-0.1998901069164276,-0.42403796315193176,0.15835566818714142,0.10627750307321548,-0.020691441372036934,0.002741477219387889,0.00022448225354310125,0.0013378524454310536,0.00020846792904194444,-0.0054293167777359486,0.00387288979254663,2.120584213116672e-06,-0.06421764194965363,0.22205011546611786,0.06622938066720963,-0.2714814245700836,-0.18924668431282043,-0.0002691275149118155,0.26267489790916443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.22050440311431885,-0.24940481781959534,-0.5334388613700867,0.20920392870903015,0.11359040439128876,0.011322611011564732,0.0029296875,0.0,0.0,0.0,-0.005425965413451195,0.0,0.0,,,,,
9,1784628599.7415142,98361.378143127,0.04996740000206046,0,,,9,-0.027197901159524918,0.20429889857769012,0.06260071694850922,-0.17655304074287415,-0.17250654101371765,0.032962486147880554,0.2319757044315338,-0.0005787779809907079,-6.8704663135577e-05,-0.0005784612149000168,-6.863837188575417e-05,-0.0013125415425747633,-0.0030455023515969515,-3.3080957564379787e-06,0.13678713142871857,-0.20383580029010773,-0.21491524577140808,-0.4272671937942505,0.16838853061199188,0.1190091073513031,-0.011925848200917244,0.002764560980722308,0.0002278889442095533,0.0013611912727355957,0.00021206247038207948,-0.005396151915192604,0.003879875410348177,2.099861603710451e-06,-0.0678606852889061,0.22302129864692688,0.05849644914269447,-0.27791890501976013,-0.19369734823703766,0.008199559524655342,0.27368155121803284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10142097622156143,-0.2224108725786209,-0.26097962260246277,-0.5334388613700867,0.2119671255350113,0.13158899545669556,0.020712468773126602,0.005859375,0.005859375,0.005190492607653141,0.005859375,-0.0017351144924759865,-0.004101562313735485,-0.0027343749534338713,,,,,
