iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6,rtc_applied,frozen_steps_used,executed_steps_sent,latency_ema_s,swap_offset
0,1784630206.1037571,99967.7403858,0.0,0,,,0,-0.16154733300209045,0.18399938941001892,-0.2145243138074875,-0.35934609174728394,-0.10083302110433578,0.23697885870933533,0.5724220871925354,3.007562781931483e-06,6.703849066980183e-07,3.0080050237302203e-06,6.703904773530667e-07,-0.0022528981789946556,-0.047712113708257675,-5.126540600031149e-06,0.028010984882712364,-0.20184989273548126,0.15975651144981384,-0.2865109443664551,-0.9209272861480713,-1.1770074367523193,1.0136640071868896,0.9034910202026367,1.4143329858779907,0.9274269342422485,1.4142857789993286,-0.022201284766197205,-0.6284214854240417,-0.6420144438743591,-0.1917242854833603,0.1900009959936142,-0.19272480905056,-0.4179343283176422,-0.04763473942875862,0.16663457453250885,0.49152204394340515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11686159670352936,-0.20048654079437256,-0.010192015208303928,-0.4172312021255493,-0.8601518273353577,-0.6446005702018738,0.7484263777732849,0.99609375,1.5,1.0017651319503784,1.4912109375,-0.0013250198680907488,-0.699999988079071,-0.699999988079071,,,,,
1,1784630206.1539905,99967.790618944,0.050233143992954865,0,,,1,-0.161546990275383,0.18399935960769653,-0.2145247906446457,-0.3593459725379944,-0.1008332371711731,0.23697930574417114,0.5724220871925354,3.0085554953984683e-06,6.705481609969866e-07,3.008969315487775e-06,6.70548786274594e-07,-0.0022565319668501616,-0.04749029502272606,-5.126819360157242e-06,0.027995770797133446,-0.2018541544675827,0.15968143939971924,-0.28650352358818054,-0.9209747910499573,-1.1769382953643799,1.01368248462677,0.9039590358734131,1.4146724939346313,0.927732527256012,1.4146088361740112,-0.021989012137055397,-0.6287260055541992,-0.6422687768936157,-0.19609594345092773,0.1900009959936142,-0.19748352468013763,-0.4163249731063843,-0.046825528144836426,0.16628171503543854,0.4947323203086853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12458191066980362,-0.1985800862312317,-0.0024754733312875032,-0.41111502051353455,-0.8629150390625,-0.6513500213623047,0.7645233273506165,1.001953125,1.5,1.006955623626709,1.5,-0.0009149253601208329,-0.699999988079071,-0.699999988079071,,,,,
2,1784630206.2037797,99967.840408465,0.04978952099918388,0,,,2,-0.1621960997581482,0.18290318548679352,-0.21590647101402283,-0.3573535084724426,-0.09838028252124786,0.23528529703617096,0.5606806874275208,-4.247428933012998e-06,-3.124320642200473e-07,-2.6560878723103087e-06,-1.317158506708438e-07,-0.0022579168435186148,-0.04734180495142937,-4.538227130979067e-06,0.057708803564310074,-0.1994365155696869,0.14779144525527954,-0.30126866698265076,-0.9179691672325134,-1.112130045890808,0.9807180762290955,0.9040845632553101,1.4149150848388672,0.928073525428772,1.4148309230804443,-0.02185411937534809,-0.6289161443710327,-0.6424382925033569,-0.1917242854833603,0.1900009959936142,-0.19113856554031372,-0.4179343283176422,-0.05006237328052521,0.16698743402957916,0.4926685690879822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11300144344568253,-0.20048654079437256,-0.02562509849667549,-0.41519248485565186,-0.8656782507896423,-0.6513500213623047,0.7645233273506165,1.00634765625,1.5,0.9991698265075684,1.5,-0.005425965413451195,-0.699999988079071,-0.699999988079071,,,,,
3,1784630206.2542472,99967.890875869,0.05046740399848204,0,,,3,-0.15792079269886017,0.182790607213974,-0.21400688588619232,-0.3515399694442749,-0.0885259285569191,0.2302474081516266,0.535741925239563,-1.416452164448856e-06,2.7292907134324196e-07,1.9435592548688874e-06,5.205089337323443e-07,-0.0022595415357500315,-0.04711981117725372,-4.687897671828978e-06,0.11772556602954865,-0.19312484562397003,0.10350712388753891,-0.33251532912254333,-0.9021923542022705,-0.9486304521560669,0.8987873196601868,0.9038971662521362,1.4153532981872559,0.92845219373703,1.4152323007583618,-0.021648984402418137,-0.6292862892150879,-0.6427400708198547,-0.1888098567724228,0.1900009959936142,-0.19748352468013763,-0.4227624535560608,-0.04925316199660301,0.16275309026241302,0.4984011948108673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10142097622156143,-0.2014397829771042,-0.03334164246916771,-0.390727698802948,-0.8325199484825134,-0.6288517713546753,0.7484263777732849,1.0078125,1.5,1.0017651319503784,1.5,-0.0017351144924759865,-0.699999988079071,-0.699999988079071,,,,,
4,1784630206.3038192,99967.940448166,0.04957229700812604,0,,,4,-0.15667198598384857,0.1829957813024521,-0.21376192569732666,-0.34543687105178833,-0.08404827117919922,0.22953499853610992,0.5237599015235901,3.0310595775517868e-06,6.605657745240023e-07,3.0260096082201926e-06,6.7749579102383e-07,-0.0022627825383096933,-0.046958595514297485,-4.695283223554725e-06,0.1345035284757614,-0.19238263368606567,0.06880009919404984,-0.33931735157966614,-0.8979352116584778,-0.8593747615814209,0.864222526550293,0.9041628241539001,1.4156817197799683,0.928738534450531,1.415558099746704,-0.021489515900611877,-0.6295566558837891,-0.6429644823074341,-0.19026707112789154,0.1900009959936142,-0.19589728116989136,-0.41954371333122253,-0.046825528144836426,0.16663457453250885,0.49243927001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10528112947940826,-0.19762684404850006,-0.03334164246916771,-0.3948051631450653,-0.8242303729057312,-0.6198524832725525,0.7645233273506165,1.0107421875,1.5,1.0017651319503784,1.494140625,-0.005015871021896601,-0.699999988079071,-0.699999988079071,,,,,
5,1784630206.354076,99967.990704801,0.050256635004188865,0,,,5,-0.15369080007076263,0.18313813209533691,-0.21347612142562866,-0.3430232107639313,-0.08134442567825317,0.22898072004318237,0.5126529932022095,-3.8029952520446386e-06,-3.4639771229194594e-07,-5.740883352700621e-06,-5.888081204830087e-07,-0.002267315052449703,-0.046737756580114365,-4.7666235332144424e-06,0.1366385668516159,-0.1942419558763504,0.028063468635082245,-0.3377434313297272,-0.8962658047676086,-0.774115800857544,0.8381612300872803,0.9069887399673462,1.4161310195922852,0.9291399121284485,1.4160079956054688,-0.021280279383063316,-0.6298941969871521,-0.6432656645774841,-0.1888098567724228,0.1900009959936142,-0.1990697681903839,-0.4179343283176422,-0.04925316199660301,0.1624002307653427,0.49335649609565735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370066970586777,-0.19667361676692963,-0.05263299494981766,-0.39684388041496277,-0.8490990996360779,-0.5973542332649231,0.7806202173233032,0.9931640625,1.494140625,1.0017651319503784,1.4853515625,0.003596114693209529,-0.694531261920929,-0.697265625,,,,,
6,1784630206.4038048,99968.040433679,0.04972887798794545,0,,,6,-0.1513640433549881,0.18326008319854736,-0.21348044276237488,-0.3428875803947449,-0.07957375049591064,0.2281486839056015,0.5085958242416382,-6.480710908363108e-06,-6.175930025165144e-07,-8.627486749901436e-06,-8.967438702711661e-07,-0.002270278986543417,-0.04658152535557747,-5.007099844078766e-06,0.13257405161857605,-0.1954411268234253,0.006535305175930262,-0.3325424790382385,-0.8878560066223145,-0.7275146842002869,0.8231726288795471,0.9104181528091431,1.416457176208496,0.929445207118988,1.4163286685943604,-0.021097298711538315,-0.6301262378692627,-0.6434817910194397,-0.18735264241695404,0.1900009959936142,-0.19748352468013763,-0.4163249731063843,-0.04763473942875862,0.16310596466064453,0.4974839985370636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10142097622156143,-0.1957203894853592,-0.04877472296357155,-0.3948051631450653,-0.8490990996360779,-0.5748559832572937,0.7537920475006104,0.99169921875,1.5,1.006955623626709,1.4970703125,0.007697060238569975,-0.699999988079071,-0.699999988079071,,,,,
7,1784630206.4538932,99968.090521922,0.0500882430060301,0,,,7,-0.15068067610263824,0.18341661989688873,-0.21345482766628265,-0.3426375687122345,-0.07740273326635361,0.22734978795051575,0.5038527250289917,-6.8481149355648085e-06,-4.134350035656098e-07,-9.150200639851391e-06,-7.20749085303396e-07,-0.0022739686537534,-0.04636766389012337,-5.145641807757784e-06,0.13003702461719513,-0.19474148750305176,-0.003859487595036626,-0.33075597882270813,-0.8800474405288696,-0.6822264194488525,0.817263662815094,0.9181792736053467,1.4168987274169922,0.9298563003540039,1.4167371988296509,-0.0208567064255476,-0.6304551959037781,-0.6437785625457764,-0.19609594345092773,0.1900009959936142,-0.1990697681903839,-0.41310620307922363,-0.05815448239445686,0.15640157461166382,0.4965667724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826004177331924,-0.19953331351280212,-0.060349538922309875,-0.40703755617141724,-0.835283100605011,-0.5332342386245728,0.7886686325073242,0.739654541015625,1.494140625,1.235337257385254,1.48828125,0.25129321217536926,-0.694531261920929,-0.699999988079071,,,,,
8,1784630206.5040255,99968.140654073,0.05013215099461377,0,,,8,-0.15051792562007904,0.1834968626499176,-0.21354743838310242,-0.3424302339553833,-0.07663550227880478,0.22607755661010742,0.5018143653869629,-1.024670655169757e-05,-7.767153533677629e-07,-1.2369514479360078e-05,-1.0561078624959919e-06,-0.0022762897424399853,-0.04621103033423424,-5.095706001156941e-06,0.1275247484445572,-0.19282619655132294,-0.005651870742440224,-0.3305748999118805,-0.8786023259162903,-0.6592085361480713,0.8165051937103271,0.9247005581855774,1.4172046184539795,0.9301655888557434,1.4170125722885132,-0.02063601091504097,-0.6306735873222351,-0.6439855098724365,-0.1829809844493866,0.1900009959936142,-0.1863798350095749,-0.42115306854248047,-0.05329921841621399,0.16063591837882996,0.49885982275009155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.19953331351280212,-0.05263299494981766,-0.4192699193954468,-0.8573886752128601,-0.5467332005500793,0.7672061324119568,0.0,0.0,0.0,0.0,-0.00624615466222167,0.0,0.0,,,,,
9,1784630206.55392,99968.190548998,0.04989492500317283,0,,,9,-0.1503695398569107,0.18359413743019104,-0.21363261342048645,-0.3417135179042816,-0.07576526701450348,0.22412030398845673,0.5012004971504211,-1.4459380508924369e-05,-1.1895679108420154e-06,-1.6682852219673805e-05,-1.4846406202195794e-06,-0.002279273932799697,-0.0459972620010376,-5.074659384263214e-06,0.12566109001636505,-0.19077466428279877,-0.005711111705750227,-0.33054131269454956,-0.8753433227539062,-0.6286749243736267,0.8140008449554443,0.931428849697113,1.4176360368728638,0.9337247014045715,1.4174209833145142,-0.014541232027113438,-0.6309922337532043,-0.6442789435386658,-0.1829809844493866,0.1900009959936142,-0.18320734798908234,-0.4163249731063843,-0.046825528144836426,0.1592244803905487,0.4938150942325592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08984050899744034,-0.20048654079437256,-0.04491645470261574,-0.4192699193954468,-0.8656782507896423,-0.5186103582382202,0.7430607676506042,0.0,0.0,0.0,0.0,-0.0013250198680907488,0.0,0.0,,,,,
10,1784630206.6038818,99968.240510421,0.04996142300660722,1,16,0.07997962000081316,2,-0.15099991858005524,0.18363727629184723,-0.21365036070346832,-0.34092429280281067,-0.07558370381593704,0.22230704128742218,0.5007445216178894,-1.916188011819031e-05,-1.7374884464516072e-06,-2.1402347556431778e-05,-2.0340660285000922e-06,-0.0022814986295998096,-0.045841995626688004,-5.0423732318449765e-06,0.12179943919181824,-0.19075046479701996,-0.007635812275111675,-0.33191052079200745,-0.8734959959983826,-0.6046923995018005,0.8170633912086487,0.9231905341148376,1.406509280204773,0.9380422830581665,1.4061275720596313,0.0038600622210651636,-0.6277815699577332,-0.6409041881561279,-0.18443819880485535,0.1900009959936142,-0.1847935914993286,-0.41310620307922363,-0.05006237328052521,0.1556958556175232,0.4956495463848114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975608229637146,-0.2014397829771042,-0.04491645470261574,-0.4172312021255493,-0.8767310380935669,-0.528734564781189,0.7484263777732849,0.0,0.0,0.0,0.0,-0.009526911191642284,0.0,0.0,1,3,8,0.08151265360502293,2
11,1784630206.6539803,99968.290609049,0.05009862799488474,0,,,3,-0.14736954867839813,0.18369458615779877,-0.21021774411201477,-0.3410528898239136,-0.0749841257929802,0.22080108523368835,0.5002138018608093,-2.983911326737143e-05,-3.202484094799729e-06,-3.1301296985475346e-05,-3.3722758416843135e-06,-0.002283719601109624,-0.04563245177268982,-5.22583559359191e-06,0.1280825287103653,-0.19151394069194794,-0.010080649517476559,-0.3377210795879364,-0.874750554561615,-0.5814626216888428,0.8158408999443054,0.8430172801017761,1.2758322954177856,0.8540182709693909,1.275167465209961,0.007122322916984558,-0.5682206153869629,-0.5795448422431946,-0.19755317270755768,0.1900009959936142,-0.18162110447883606,-0.39218437671661377,-0.04035183787345886,0.15075579285621643,0.4862480163574219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10528112947940826,-0.19476714730262756,-0.056491266936063766,-0.4600445628166199,-0.7744928598403931,-0.4646145701408386,0.759157657623291,0.0322265625,0.05859375,0.03633344918489456,0.052734375,0.00031535830930806696,-0.02597656287252903,-0.02734375,,,,,
12,1784630206.7038112,99968.340440034,0.04983098499360494,0,,,4,-0.14605039358139038,0.1837669163942337,-0.2069263905286789,-0.3407389223575592,-0.07439447194337845,0.22036856412887573,0.49983617663383484,-2.8955775633221492e-05,-2.8806441605411237e-06,-3.0421449991990812e-05,-3.0523269742843695e-06,-0.0022856176365166903,-0.04549800977110863,-5.136264007887803e-06,0.12811674177646637,-0.19244688749313354,-0.010031277313828468,-0.33788278698921204,-0.8782958388328552,-0.566719114780426,0.8120914101600647,0.7706263065338135,1.1393479108810425,0.7651063203811646,1.1386669874191284,0.007069248706102371,-0.5101496577262878,-0.5203806757926941,-0.20192483067512512,0.1900009959936142,-0.1863798350095749,-0.38413751125335693,-0.03711499646306038,0.15216724574565887,0.4853307902812958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.19381392002105713,-0.0719243511557579,-0.49266424775123596,-0.7302817702293396,-0.4353668689727783,0.7752545475959778,0.029296875,0.0439453125,0.02595246396958828,0.0439453125,-0.0009149253601208329,-0.0205078125,-0.02324218675494194,,,,,
13,1784630206.7537858,99968.390414617,0.04997458300204016,0,,,5,-0.14694751799106598,0.18408416211605072,-0.20337750017642975,-0.33443939685821533,-0.07324419915676117,0.21820351481437683,0.49861788749694824,-1.831156805565115e-05,-8.190266953533865e-07,-1.976220119104255e-05,-9.92405603028601e-07,-0.002288921270519495,-0.04526877775788307,-5.029691692470806e-06,0.12946470081806183,-0.19385190308094025,-0.014058993197977543,-0.3590005338191986,-0.8731747269630432,-0.5464874505996704,0.8094819784164429,0.7276625633239746,0.9693644046783447,0.615840494632721,0.9030999541282654,0.006939968094229698,-0.4142850935459137,-0.42284876108169556,-0.20775370299816132,0.1900009959936142,-0.19272480905056,-0.3760906457901001,-0.032259728759527206,0.149344339966774,0.48452821373939514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.1900009959936142,-0.07578261941671371,-0.5069353580474854,-0.7219921946525574,-0.4156808853149414,0.7806202173233032,0.0087890625,0.0146484375,0.01816672459244728,0.01171875,0.001955736428499222,-0.0068359375,-0.009570312686264515,,,,,
14,1784630206.8038497,99968.44047864,0.05006402300205082,0,,,6,-0.15238597989082336,0.184096559882164,-0.20300473272800446,-0.3251030743122101,-0.07067521661520004,0.21562881767749786,0.49587491154670715,-2.131318615283817e-05,-1.096118126042711e-06,-2.1369869500631467e-05,-1.054326844496245e-06,-0.0022903617937117815,-0.045118559151887894,-5.130347290105419e-06,0.1355457901954651,-0.19301635026931763,-0.0166868157684803,-0.36930546164512634,-0.8511489033699036,-0.5184791088104248,0.8156116008758545,0.6868696808815002,0.852513313293457,0.5327011942863464,0.7706820368766785,0.006898331455886364,-0.3621355891227722,-0.3695245385169983,-0.21066813170909882,0.1900009959936142,-0.19589728116989136,-0.37930938601493835,-0.030641306191682816,0.15216724574565887,0.48819708824157715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11300144344568253,-0.1900009959936142,-0.08735743165016174,-0.529361367225647,-0.7137026190757751,-0.38305842876434326,0.8020827174186707,0.0,0.0029296875,0.0,0.0,0.0007254528463818133,-0.0013671874767169356,-0.0027343749534338713,,,,,
15,1784630206.853798,99968.490426623,0.04994798300322145,0,,,7,-0.15850968658924103,0.18415020406246185,-0.20291118323802948,-0.3138316571712494,-0.06678992509841919,0.21358610689640045,0.4931729733943939,-2.046783993137069e-05,-6.767470495105954e-07,-2.0086112272110768e-05,-5.610240805253852e-07,-0.002292593475431204,-0.04490841552615166,-4.946063654642785e-06,0.14372898638248444,-0.19099892675876617,-0.023457951843738556,-0.38782963156700134,-0.818305253982544,-0.48208045959472656,0.8281314969062805,0.6311867833137512,0.7028199434280396,0.4408201575279236,0.6230018138885498,0.006839750800281763,-0.304696261882782,-0.31077298521995544,-0.21212536096572876,0.1900009959936142,-0.1990697681903839,-0.3760906457901001,-0.029022883623838425,0.15216724574565887,0.4904901683330536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.1900009959936142,-0.08735743165016174,-0.5375162959098816,-0.7081762552261353,-0.36787211894989014,0.8020827174186707,0.0029296875,0.005859375,0.005190492607653141,0.005859375,0.00113554741255939,-0.0027343749534338713,-0.004101562313735485,,,,,
