iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6,rtc_applied,frozen_steps_used,executed_steps_sent,latency_ema_s,swap_offset
0,1784629102.8151853,98864.451814191,0.0,0,,,0,-0.14343389868736267,0.19069746136665344,-0.11681358516216278,-0.20695069432258606,-0.11705244332551956,0.09490428119897842,0.5202761888504028,4.1147059164359234e-06,8.179914630090934e-07,4.105046173208393e-06,8.162251106114127e-07,-0.0011315052397549152,-0.002807209501042962,-4.60988349004765e-06,0.0337560810148716,-0.21606720983982086,-0.14937551319599152,-0.6685879230499268,0.0489422082901001,0.3890758156776428,0.37637513875961304,0.005868936888873577,0.0005300974007695913,0.003549945307895541,0.0005308312247507274,-0.0026742396876215935,0.000622286694124341,-0.00026575266383588314,-0.1742376685142517,0.19582810997962952,-0.09199836850166321,-0.3004501461982727,-0.09942425042390823,0.04772009700536728,0.4910634160041809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03965849056839943,-0.20811240375041962,-0.14523150026798248,-0.7780865430831909,-0.060207415372133255,0.3565714955329895,0.4935588538646698,0.0,0.0,0.0,0.0,-0.00747643830254674,0.0,0.0,,,,,
1,1784629102.8653824,98864.502011148,0.05019695700320881,0,,,1,-0.1434546411037445,0.19069866836071014,-0.1168137788772583,-0.2069379985332489,-0.11705684661865234,0.09491413831710815,0.520272970199585,4.095240910828579e-06,8.146766390382254e-07,4.085629825567594e-06,8.12920347925683e-07,-0.0011391073931008577,-0.0028297274839133024,-4.601388809533091e-06,0.033736422657966614,-0.21606670320034027,-0.14937248826026917,-0.668569803237915,0.04893907159566879,0.3890860080718994,0.3763718605041504,0.005919392220675945,0.0005346492398530245,0.0035806726664304733,0.0005353671731427312,-0.002691782545298338,0.0006293778424151242,-0.00026835629250854254,-0.17132322490215302,0.19777047634124756,-0.09437772631645203,-0.3068876266479492,-0.09295056015253067,0.049131546169519424,0.49427369236946106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05123895779252052,-0.1957203894853592,-0.11436533182859421,-0.7821640372276306,-0.13066884875297546,0.3520718216896057,0.5136799812316895,0.0,0.0,0.0,0.0,-0.004605776164680719,0.0,-0.004101562313735485,,,,,
2,1784629102.9152617,98864.551890507,0.049879359008627944,0,,,2,-0.14181476831436157,0.19029541313648224,-0.11636998504400253,-0.2083759754896164,-0.11703233420848846,0.09521044045686722,0.5168399810791016,4.681833615904907e-06,9.291806577493844e-07,4.556067324301694e-06,9.102379294745333e-07,-0.0011439374648034573,-0.0028403031174093485,-4.339334736869205e-06,0.040072180330753326,-0.21202503144741058,-0.14916634559631348,-0.6762683987617493,0.030805382877588272,0.3908179998397827,0.39367297291755676,0.005915902554988861,0.0005331106949597597,0.0035668634809553623,0.0005327530088834465,-0.002717288676649332,0.0006153583526611328,-0.00027174106799066067,-0.17132322490215302,0.19582810997962952,-0.09279149025678635,-0.3068876266479492,-0.09375977516174316,0.056188784539699554,0.4910634160041809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357983373105526,-0.1900009959936142,-0.08349916338920593,-0.7699316143989563,-0.1665903478860855,0.3565714955329895,0.5633120536804199,0.0,0.0,0.0,0.0,0.00031535830930806696,0.0,0.0,,,,,
3,1784629102.9655051,98864.602133927,0.050243419987964444,0,,,3,-0.13610954582691193,0.18942129611968994,-0.11404911428689957,-0.2146904468536377,-0.11673188954591751,0.09692652523517609,0.5090282559394836,6.274996849242598e-06,1.1654855143206078e-06,6.294707418419421e-06,1.1687820915540215e-06,-0.001152011682279408,-0.0028638148214668036,-4.428614829521393e-06,0.060670796781778336,-0.19982942938804626,-0.1330968290567398,-0.6969966292381287,-0.023118408396840096,0.39479029178619385,0.4419441521167755,0.005906607024371624,0.0005330774001777172,0.003568782703951001,0.000532531994394958,-0.0027799310628324747,0.0006297652726061642,-0.00027595210121944547,-0.17132322490215302,0.1948569267988205,-0.09358461201190948,-0.31332510709762573,-0.0872860848903656,0.06183457747101784,0.491980642080307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04351864755153656,-0.1900009959936142,-0.06420780718326569,-0.7617766857147217,-0.2052750587463379,0.3475721776485443,0.6035543084144592,0.0,0.0,0.0,0.0,0.00031535830930806696,0.0,-0.0027343749534338713,,,,,
4,1784629103.0153992,98864.652027952,0.0498940250108717,0,,,4,-0.1338796466588974,0.18931744992733002,-0.11330011487007141,-0.21784940361976624,-0.116340771317482,0.09870489686727524,0.5063139796257019,7.769178409944288e-06,1.4059670547794667e-06,7.774988262099214e-06,1.4076661045692163e-06,-0.0011574514210224152,-0.0028803693130612373,-4.5099022827344015e-06,0.06678058207035065,-0.19246932864189148,-0.11370846629142761,-0.7005571722984314,-0.059531573206186295,0.3965701460838318,0.4704783260822296,0.0059099262580275536,0.0005345891113393009,0.003583152312785387,0.000534290331415832,-0.002794747008010745,0.0006481296150013804,-0.00028249077149666846,-0.16840879619121552,0.19388574361801147,-0.09913645684719086,-0.32137197256088257,-0.0864768698811531,0.06183457747101784,0.4855600893497467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055099114775657654,-0.1900009959936142,-0.04105818271636963,-0.7413893938064575,-0.22185422480106354,0.3385728895664215,0.6223340630531311,0.0029296875,0.0,0.0,0.0,-0.002555303508415818,-0.0027343749534338713,-0.004101562313735485,,,,,
5,1784629103.0653892,98864.702017817,0.04998986500140745,0,,,5,-0.13334140181541443,0.18769308924674988,-0.11308633536100388,-0.22165794670581818,-0.1155698150396347,0.1040879487991333,0.5017122626304626,3.7762883948744275e-06,7.54176312511845e-07,3.657105253296322e-06,7.359598725997785e-07,-0.001165043213404715,-0.002902263542637229,-4.5555229917226825e-06,0.0673484057188034,-0.18546192348003387,-0.07768896222114563,-0.698165774345398,-0.11551365256309509,0.3991728127002716,0.5236207842826843,0.005936012603342533,0.0005402548122219741,0.003620755858719349,0.0005397542845457792,-0.00278211897239089,0.0006563336355611682,-0.00028665069839917123,-0.16986601054668427,0.1948569267988205,-0.09834333509206772,-0.3278094530105591,-0.0872860848903656,0.06606891751289368,0.4855600893497467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04737880453467369,-0.1900009959936142,-0.02176682837307453,-0.729157030582428,-0.26882851123809814,0.3565714955329895,0.6598934531211853,0.0,0.0,0.0,0.0,0.003186020301654935,0.0,0.0,,,,,
6,1784629103.1153886,98864.752017596,0.049999778988421895,0,,,6,-0.13254261016845703,0.18683943152427673,-0.11310607939958572,-0.22557663917541504,-0.1149320974946022,0.10716751962900162,0.4994543194770813,2.6530919967626687e-06,5.840228709530493e-07,2.48147171078017e-06,5.553246182898874e-07,-0.001169856172055006,-0.0029152368661016226,-4.494405402510893e-06,0.06900478154420853,-0.1843239963054657,-0.05838765203952789,-0.6936845183372498,-0.14324982464313507,0.39771583676338196,0.5525145530700684,0.0059677050448954105,0.0005459731910377741,0.0036587687209248543,0.0005456664366647601,-0.0027776535134762526,0.0006524362252093852,-0.00029665924375876784,-0.16257990896701813,0.19582810997962952,-0.10230894386768341,-0.33263757824897766,-0.08566766232252121,0.07171471416950226,0.48968759179115295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055099114775657654,-0.1900009959936142,0.009099339134991169,-0.7046922445297241,-0.2660652995109558,0.3565714955329895,0.6545278429985046,0.0,0.0,0.0,0.0,-0.005836059805005789,0.0,0.0,,,,,
7,1784629103.1653543,98864.801982858,0.049965262005571276,0,,,7,-0.13082170486450195,0.18630199134349823,-0.11326655745506287,-0.2341253161430359,-0.1138535663485527,0.1111413910984993,0.4957349896430969,3.2770781217550393e-06,6.902810127940029e-07,3.1645774924982106e-06,6.697983394587936e-07,-0.0011779561173170805,-0.0029401087667793036,-4.617520971805789e-06,0.07332804799079895,-0.18394772708415985,-0.029552575200796127,-0.6773169636726379,-0.18739162385463715,0.39582693576812744,0.5968944430351257,0.006033516488969326,0.0005567700718529522,0.0037283485289663076,0.0005564641323871911,-0.0027677053585648537,0.0006372159696184099,-0.00031163814128376544,-0.16695156693458557,0.19777047634124756,-0.10310206562280655,-0.3358563184738159,-0.08324002474546432,0.07453760504722595,0.49209529161453247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05123895779252052,-0.1900009959936142,0.009099339134991169,-0.68430495262146,-0.2895524501800537,0.3475721776485443,0.6759903430938721,0.0029296875,0.0,0.0,0.0087890625,-0.0005048307939432561,0.0,-0.0054687499068677425,,,,,
8,1784629103.21532,98864.851949084,0.04996622599719558,0,,,8,-0.1297820657491684,0.18624572455883026,-0.11343247443437576,-0.24033823609352112,-0.11315217614173889,0.11383169889450073,0.49456772208213806,2.464777026034426e-06,5.487034968609805e-07,2.4285488962050295e-06,5.413606913862168e-07,-0.0011830690782517195,-0.002955773612484336,-4.599816293193726e-06,0.07418270409107208,-0.1839068979024887,-0.011015958152711391,-0.6617282032966614,-0.2138080596923828,0.3968290388584137,0.6201449632644653,0.00606826227158308,0.0005636719870381057,0.0037753479555249214,0.0005638662842102349,-0.0027597909793257713,0.0006299394299276173,-0.00031167984707280993,-0.16840879619121552,0.19582810997962952,-0.10706767439842224,-0.3294188380241394,-0.07757554948329926,0.07453760504722595,0.49169400334358215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058959268033504486,-0.1900009959936142,0.02839069440960884,-0.6802274584770203,-0.3088948130607605,0.3565714955329895,0.6733075380325317,0.0,0.0,0.0,0.0,-0.0037855871487408876,0.0,0.0,,,,,
9,1784629103.2654097,98864.902038692,0.05008960800478235,0,,,9,-0.1278325319290161,0.18630576133728027,-0.11412801593542099,-0.24706052243709564,-0.11187107115983963,0.11750581115484238,0.4942416548728943,2.5569790977897355e-06,5.690246211997874e-07,2.8413012387318304e-06,6.14002260590496e-07,-0.0011897006770595908,-0.002980053424835205,-4.7736125452502165e-06,0.07689841836690903,-0.18384915590286255,0.012466794811189175,-0.6367181539535522,-0.2401392012834549,0.3972676992416382,0.6441501379013062,0.006126423366367817,0.0005739283515140414,0.003841710975393653,0.000590748677495867,-0.00278541655279696,0.0006069226656109095,-0.00032360194018110633,-0.16257990896701813,0.19777047634124756,-0.10230894386768341,-0.3294188380241394,-0.08000318706035614,0.0731261596083641,0.4889996647834778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04351864755153656,-0.1900009959936142,0.03224896639585495,-0.6394528746604919,-0.30613160133361816,0.3385728895664215,0.6706247329711914,0.01171875,0.0,0.0,0.0087890625,-0.002965398132801056,0.0,0.0,,,,,
