iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6,rtc_applied,frozen_steps_used,executed_steps_sent,latency_ema_s,swap_offset
0,1784629447.0872433,99208.723871866,0.0,0,,,0,-0.1946495920419693,0.1842837631702423,-0.24547937512397766,-0.2980794906616211,-0.02862495742738247,0.25705355405807495,0.6058973670005798,-0.0010974003234878182,-0.0001422003988409415,-0.0010931073920801282,-0.0001415318693034351,-0.001585476566106081,-0.01569685898721218,-4.971248472429579e-06,-0.04772123321890831,-0.2031749039888382,-0.04888981208205223,-0.3728414475917816,-0.6857754588127136,-0.947248637676239,1.2161343097686768,0.022205989807844162,0.009456830099225044,0.021028773859143257,0.0068312170915305614,-0.00036767605342902243,0.031895846128463745,-0.027895525097846985,-0.23835529386997223,0.1900009959936142,-0.21175971627235413,-0.38413751125335693,-0.011220240034162998,0.16945748031139374,0.5763651728630066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08772663027048111,-0.20906563103199005,-0.0680660828948021,-0.3805340528488159,-0.6225172281265259,-0.975324809551239,1.1615800857543945,0.0,0.0,0.0,0.0,-0.002965398132801056,0.0,0.0,,,,,
1,1784629447.1373558,99208.77398443,0.05011256400030106,0,,,1,-0.19464971125125885,0.18428312242031097,-0.24548089504241943,-0.29807958006858826,-0.028625180944800377,0.2570536136627197,0.6058968901634216,-0.001101603382267058,-0.00014275158173404634,-0.0010973261669278145,-0.00014208546781446785,-0.001588631421327591,-0.015668189153075218,-4.9715436034603044e-06,-0.04772385582327843,-0.20317403972148895,-0.04888894408941269,-0.37283796072006226,-0.6857770085334778,-0.9472493529319763,1.2161263227462769,0.02228916622698307,0.009492537938058376,0.02110111340880394,0.006855346728116274,-0.0003795493976213038,0.03172207251191139,-0.027819758281111717,-0.23981250822544098,0.1900009959936142,-0.21017347276210785,-0.38413751125335693,-0.014457084238529205,0.16910460591316223,0.5722376704216003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09544694423675537,-0.21478502452373505,-0.08735743165016174,-0.3581080138683319,-0.6197540163993835,-1.0023226737976074,1.1830426454544067,0.0,0.0,0.005190492607653141,0.0029296875,0.002775925677269697,-0.0013671874767169356,0.0,,,,,
2,1784629447.1873493,99208.82397807,0.049993640001048334,0,,,2,-0.1944504827260971,0.18426206707954407,-0.24193599820137024,-0.29817676544189453,-0.028871718794107437,0.25101685523986816,0.5988591313362122,-0.0011044138809666038,-0.00014286191435530782,-0.001102526905015111,-0.00014258112059906125,-0.0015948524232953787,-0.015619185753166676,-4.950220500177238e-06,-0.05225573480129242,-0.2034262716770172,-0.04912794753909111,-0.3590426743030548,-0.6807437539100647,-0.9532787203788757,1.2132903337478638,0.022383466362953186,0.009509083814918995,0.021191870793700218,0.0068700192496180534,-0.00029293494299054146,0.03292201831936836,-0.02755795419216156,-0.23981250822544098,0.1900009959936142,-0.2070009857416153,-0.3889656364917755,-0.014457084238529205,0.1715746521949768,0.5763651728630066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11474771797657013,-0.21859794855117798,-0.0680660828948021,-0.3397594392299652,-0.6280436515808105,-1.011322021484375,1.177677035331726,0.0,0.0,0.0025952463038265705,0.0,0.004416303709149361,0.0,-0.0027343749534338713,,,,,
3,1784629447.2373364,99208.873965173,0.04998710300424136,0,,,3,-0.19474652409553528,0.18423841893672943,-0.2382742315530777,-0.2987269461154938,-0.029111577197909355,0.24471066892147064,0.5922166109085083,-0.0011116289533674717,-0.00014389483840204775,-0.001109919510781765,-0.0001436445745639503,-0.0015986812068149447,-0.01558671798557043,-4.961279501003446e-06,-0.05654064565896988,-0.20388281345367432,-0.05111084505915642,-0.34463682770729065,-0.6746541261672974,-0.9612283110618591,1.2117143869400024,0.02241736277937889,0.009490424767136574,0.021235967054963112,0.006865444127470255,-0.00017359034973196685,0.03620527312159538,-0.027340905740857124,-0.24126973748207092,0.1900009959936142,-0.2133459597826004,-0.39057499170303345,-0.012838661670684814,0.17051605880260468,0.5736135244369507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0993070974946022,-0.22622379660606384,-0.0719243511557579,-0.32956579327583313,-0.644622802734375,-1.011322021484375,1.177677035331726,0.0,0.0,0.0,0.0,-0.0033754927571862936,-0.0013671874767169356,0.0,,,,,
4,1784629447.287366,99208.923994658,0.05002948500623461,0,,,4,-0.19566026329994202,0.18423523008823395,-0.23305320739746094,-0.3015252649784088,-0.029594987630844116,0.23783989250659943,0.5850194692611694,-0.001118744839914143,-0.00014491257024928927,-0.001116734929382801,-0.00014461323735304177,-0.001603599521331489,-0.015543586574494839,-5.068193331680959e-06,-0.06774546205997467,-0.20740818977355957,-0.05506352707743645,-0.3194761574268341,-0.6674956679344177,-0.9786046147346497,1.211746096611023,0.022465601563453674,0.00946359895169735,0.02130988985300064,0.00686294911429286,4.447305400390178e-06,0.03761523962020874,-0.027103077620267868,-0.23252642154693604,0.1900009959936142,-0.21175971627235413,-0.39701250195503235,-0.014457084238529205,0.17333894968032837,0.5699446201324463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12246803194284439,-0.2281302660703659,-0.060349538922309875,-0.2989848256111145,-0.6335700154304504,-1.0248209238052368,1.177677035331726,0.0,0.0,0.0077857389114797115,0.005859375,0.002775925677269697,0.0,0.0,,,,,
5,1784629447.3372743,99208.973903394,0.04990873599308543,0,,,5,-0.19641171395778656,0.18422864377498627,-0.23182730376720428,-0.30391162633895874,-0.029821978881955147,0.23558346927165985,0.5828688144683838,-0.0011212476529181004,-0.00014520228432957083,-0.0011191233061254025,-0.00014488474698737264,-0.0016066088574007154,-0.015514736995100975,-4.988422460883157e-06,-0.07386695593595505,-0.2107306867837906,-0.05495942011475563,-0.30738502740859985,-0.6670138835906982,-0.9861658811569214,1.2116034030914307,0.022490907460451126,0.009445840492844582,0.021347282454371452,0.006855124607682228,0.0001129266747739166,0.03834804892539978,-0.026957528665661812,-0.23106920719146729,0.1900009959936142,-0.20858722925186157,-0.4002312421798706,-0.014457084238529205,0.17333894968032837,0.5704032182693481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10702741146087646,-0.23003672063350677,-0.04105818271636963,-0.2989848256111145,-0.6418595910072327,-1.0203213691711426,1.1884082555770874,0.0087890625,0.0,0.0,0.005859375,-0.002965398132801056,0.0,-0.0027343749534338713,,,,,
6,1784629447.3873951,99209.024023752,0.050120358006097376,0,,,6,-0.1957842856645584,0.184271439909935,-0.2311554253101349,-0.30920350551605225,-0.030072234570980072,0.23309962451457977,0.5796533226966858,-0.0011194372782483697,-0.00014470607857219875,-0.001117030973546207,-0.000144340650876984,-0.0016115119215101004,-0.015468830242753029,-5.084799795440631e-06,-0.08033867180347443,-0.21568746864795685,-0.054892465472221375,-0.2880677282810211,-0.6658291220664978,-0.9978235363960266,1.2062894105911255,0.016332004219293594,0.009027431719005108,0.02143021672964096,0.006854643579572439,0.00022695651568938047,0.03869616985321045,-0.026740802451968193,-0.22961197793483734,0.1900009959936142,-0.21017347276210785,-0.40184059739112854,-0.01931235007941723,0.17827902734279633,0.5736135244369507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13018834590911865,-0.24147550761699677,-0.0680660828948021,-0.2684038579463959,-0.6639651656150818,-1.0473191738128662,1.1669458150863647,0.0,0.0,0.0,0.0,-0.0013250198680907488,0.0,0.0,,,,,
7,1784629447.437315,99209.073943815,0.04992006300017238,0,,,7,-0.194192036986351,0.18424858152866364,-0.23105530440807343,-0.3128821551799774,-0.03027956373989582,0.23258128762245178,0.5773060917854309,-0.001123733352869749,-0.00014528010797221214,-0.0011209965450689197,-0.0001448613911634311,-0.0016142608365043998,-0.015444033779203892,-5.282775873638457e-06,-0.08607136458158493,-0.21810834109783173,-0.05387093871831894,-0.2764749228954315,-0.6649259924888611,-1.002750277519226,1.2043840885162354,0.010402044281363487,0.008715999312698841,0.02148309163749218,0.006867260206490755,0.0003095014544669539,0.038913544267416,-0.02661128155887127,-0.23106920719146729,0.1900009959936142,-0.20858722925186157,-0.40344998240470886,-0.016075506806373596,0.1740446835756302,0.5781996250152588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12246803194284439,-0.24052228033542633,-0.060349538922309875,-0.27452003955841064,-0.6833074688911438,-1.0473191738128662,1.1669458150863647,0.0,0.0029296875,0.0,0.0,-0.004605776164680719,0.0,0.0,,,,,
8,1784629447.4875684,99209.124197285,0.050253469991730526,0,,,8,-0.191236212849617,0.1842440515756607,-0.2306559979915619,-0.3177952766418457,-0.030705489218235016,0.2320929765701294,0.5758250951766968,-0.0011276460718363523,-0.00014573348744306713,-0.0011243787594139576,-0.00014522850688081235,-0.0016188211739063263,-0.015407640486955643,-5.789055649074726e-06,-0.0909034013748169,-0.22253820300102234,-0.05225992575287819,-0.2605305016040802,-0.6650176644325256,-1.0115809440612793,1.1983938217163086,-0.0020876110065728426,0.007286577019840479,0.021544199436903,0.0068802665919065475,0.0003785372246056795,0.03904944285750389,-0.02643849328160286,-0.22961197793483734,0.1900009959936142,-0.2133459597826004,-0.40344998240470886,-0.01931235007941723,0.17580899596214294,0.5772823691368103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12246803194284439,-0.24147550761699677,-0.060349538922309875,-0.2592295706272125,-0.6888338923454285,-1.0383199453353882,1.1508488655090332,0.0,0.0,0.0,0.0,-0.0033754927571862936,0.0,0.0,,,,,
9,1784629447.5373294,99209.173958374,0.04976108900154941,0,,,9,-0.1905512660741806,0.18423135578632355,-0.23052681982517242,-0.3192839026451111,-0.031071016564965248,0.23200282454490662,0.5756657123565674,-0.0011298517929390073,-0.00014594879758078605,-0.0011263772612437606,-0.00014541062409989536,-0.001621929812245071,-0.01538335531949997,-5.965363470750162e-06,-0.09642426669597626,-0.22611664235591888,-0.05230110138654709,-0.24985146522521973,-0.666667640209198,-1.0206910371780396,1.1918302774429321,-0.0011839313665404916,0.004510160535573959,0.02158473990857601,0.006872893776744604,0.00041951911407522857,0.039176974445581436,-0.026315229013562202,-0.22961197793483734,0.1900009959936142,-0.2133459597826004,-0.40344998240470886,-0.016075506806373596,0.1775732934474945,0.5726962685585022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11474771797657013,-0.2452884316444397,-0.060349538922309875,-0.2469971776008606,-0.6943602561950684,-1.0248209238052368,1.1508488655090332,0.0,0.0,0.0,0.0,-0.004195681773126125,0.0,0.0,,,,,
