iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6
0,1783686277.099445,367377.735770,0.000000,1,16,0.080237,0,-0.09491653740406036,0.19185613095760345,-0.03188736364245415,-0.14035995304584503,-0.07576465606689453,-0.02374889887869358,0.29173561930656433,-0.0006811369676142931,-8.113170770229772e-05,-0.0006782020209357142,-8.066814916674048e-05,-0.0012792741181328893,-0.003499987069517374,-5.005109414923936e-06,0.10527445375919342,-0.20677518844604492,-0.0934167429804802,-0.4151606559753418,0.1593272089958191,0.06954353302717209,-0.11434757709503174,0.0035346283111721277,0.00010397415462648496,0.000819550477899611,0.0001027862454066053,-0.00365726207382977,0.0034180122893303633,-0.0007622034754604101,-0.12323500216007233,0.20748233795166016,0.007141828536987305,-0.2232002466917038,-0.07595712691545486,-0.08354455232620239,0.29936379194259644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04737880453467369,-0.2338496595621109,-0.16838112473487854,-0.46208328008651733,0.15808485448360443,0.07534337788820267,-0.11275764554738998,0.005859375,0.0,0.0,0.0,-0.002965398132801056,0.0,0.0
1,1783686277.099753,367377.736250,0.000479,0,,,1,-0.09491914510726929,0.19185596704483032,-0.031887948513031006,-0.14035870134830475,-0.07576494663953781,-0.02374781295657158,0.29173529148101807,-0.0006842382717877626,-8.149685891112313e-05,-0.0006813169457018375,-8.103545405901968e-05,-0.0012836949899792671,-0.003516443772241473,-5.002418674848741e-06,0.1052718535065651,-0.20677530765533447,-0.09341650456190109,-0.4151591956615448,0.15932735800743103,0.06954485923051834,-0.11434762179851532,0.0035511518362909555,0.00010444715735502541,0.0008232877007685602,0.00010325187759008259,-0.0036695783492177725,0.0034340075217187405,-0.0007657911046408117,-0.12177778780460358,0.20845352113246918,-0.0007893871515989304,-0.2232002466917038,-0.07272028177976608,-0.07648731023073196,0.30119824409484863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03965849056839943,-0.23194319009780884,-0.16066458821296692,-0.44781216979026794,0.14288729429244995,0.07534337788820267,-0.11275764554738998,0.0,0.0,0.0,0.0,0.003186020301654935,0.0,0.0
2,1783686277.119081,367377.755563,0.019313,0,,,2,-0.09492330253124237,0.19185574352741241,-0.031888846307992935,-0.1403569132089615,-0.07576536387205124,-0.02374623902142048,0.2917347252368927,-0.000688486616127193,-8.199727744795382e-05,-0.0006855839164927602,-8.153879753081128e-05,-0.0012897198321297765,-0.003538951277732849,-4.999667908123229e-06,0.10526775568723679,-0.20677553117275238,-0.09341616928577423,-0.4151570796966553,0.15932755172252655,0.06954681128263474,-0.1143476814031601,0.0035737643484026194,0.00010509471758268774,0.0008284026989713311,0.00010388923692516983,-0.0036863568238914013,0.003455884987488389,-0.0007707016775384545,-0.11886334419250488,0.20748233795166016,-0.0011859479127451777,-0.2232002466917038,-0.0694834366440773,-0.07789875566959381,0.30303269624710083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031938180327415466,-0.23003672063350677,-0.16452285647392273,-0.45188963413238525,0.14426888525485992,0.07309355586767197,-0.11275764554738998,0.0,0.0,0.0,0.0,-0.0005048307939432561,0.0,0.0
3,1783686277.169227,367377.805600,0.050037,0,,,3,-0.0937974750995636,0.19203807413578033,-0.030832741409540176,-0.14057564735412598,-0.07586492598056793,-0.0237119197845459,0.2918412983417511,-0.0006917431601323187,-8.241979230660945e-05,-0.0006887054769322276,-8.193778194254264e-05,-0.0012927853967994452,-0.0035493760369718075,-4.859980435867328e-06,0.09836112707853317,-0.20720137655735016,-0.09643595665693283,-0.40971750020980835,0.15908007323741913,0.07525304704904556,-0.11281286180019379,0.0036026022862643003,0.00010917916370090097,0.000852711615152657,0.0001075899344868958,-0.0036767558194696903,0.0034925988875329494,-0.0007660078117623925,-0.12614944577217102,0.20651113986968994,-0.0019790695514529943,-0.2232002466917038,-0.0702926516532898,-0.0807216539978981,0.3076188266277313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04737880453467369,-0.23194319009780884,-0.17223939299583435,-0.4600445628166199,0.16499283909797668,0.09559180587530136,-0.11544046550989151,0.0029296875,0.0,0.0,0.0,0.003596114693209529,0.0,0.0
4,1783686277.219168,367377.855568,0.049968,0,,,4,-0.08911675959825516,0.19262655079364777,-0.028534958139061928,-0.14074617624282837,-0.07618940621614456,-0.023460017517209053,0.2925613522529602,-0.000713957182597369,-8.585304021835327e-05,-0.0007102550589479506,-8.526237797923386e-05,-0.0012987739173695445,-0.0035700059961527586,-4.782591986440821e-06,0.07512223720550537,-0.21076752245426178,-0.12136266380548477,-0.3861742317676544,0.15803179144859314,0.09919330477714539,-0.11131670325994492,0.003625294892117381,0.00011473503400338814,0.0008862101240083575,0.00011286704830126837,-0.0036413087509572506,0.0035203518345952034,-0.0007551726885139942,-0.12177778780460358,0.20748233795166016,0.001986538292840123,-0.2232002466917038,-0.07433870434761047,-0.07225296646356583,0.3076188266277313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024217870086431503,-0.2338496595621109,-0.16066458821296692,-0.4600445628166199,0.17880879342556,0.07534337788820267,-0.11678186804056168,0.0,0.0,0.0,0.0,0.001955736428499222,0.0,0.0
5,1783686277.269322,367377.905708,0.050140,0,,,5,-0.0869300439953804,0.19279921054840088,-0.026159727945923805,-0.14058972895145416,-0.07638036459684372,-0.02325741946697235,0.29474112391471863,-0.0007208994938991964,-8.68645147420466e-05,-0.0007173402118496597,-8.629996591480449e-05,-0.0013033109717071056,-0.0035924543626606464,-5.318316652846988e-06,0.0721697136759758,-0.21306972205638885,-0.13721546530723572,-0.3824867606163025,0.15835627913475037,0.1145639568567276,-0.11155883222818375,0.0036144526675343513,0.00011342384095769376,0.0008795206667855382,0.00011170988727826625,-0.003608388127759099,0.0035127962473779917,-0.0007512406446039677,-0.12323500216007233,0.20359759032726288,-0.0007893871515989304,-0.2232002466917038,-0.07595712691545486,-0.06801862269639969,0.3076188266277313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03965849056839943,-0.2338496595621109,-0.16452285647392273,-0.46208328008651733,0.17051921784877777,0.10009144991636276,-0.11275764554738998,0.0,0.0,0.0,0.0,0.00031535830930806696,-0.0027343749534338713,0.0
6,1783686277.319227,367377.955615,0.049908,0,,,6,-0.08563893288373947,0.1935599446296692,-0.020458197221159935,-0.14049790799617767,-0.07684427499771118,-0.02174350619316101,0.2977984547615051,-0.0007150272722356021,-8.573545346735045e-05,-0.0007114654290489852,-8.516991510987282e-05,-0.0013088459381833673,-0.003613762091845274,-5.182056156627368e-06,0.06666520237922668,-0.2151791900396347,-0.14311093091964722,-0.37884706258773804,0.16183044016361237,0.12496703118085861,-0.11282523721456528,0.003578786738216877,0.00010900475172093138,0.0008569094934500754,0.00010787898645503446,-0.003568574320524931,0.003519900608807802,-0.0007437200401909649,-0.12469222396612167,0.20553995668888092,-0.006737798918038607,-0.2232002466917038,-0.08324002474546432,-0.07084152102470398,0.304867148399353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357983373105526,-0.2338496595621109,-0.16838112473487854,-0.45188963413238525,0.18433518707752228,0.10909075289964676,-0.10739201307296753,0.0,0.0,0.0,0.0,0.0007254528463818133,0.0,-0.0027343749534338713
7,1783686277.369142,367378.005521,0.049906,0,,,7,-0.08558150380849838,0.19355738162994385,-0.019429277628660202,-0.14045697450637817,-0.0773586705327034,-0.0196364875882864,0.2991859018802643,-0.000709844462107867,-8.476213406538591e-05,-0.0007069263374432921,-8.429563604295254e-05,-0.001313153188675642,-0.0036251225974410772,-4.78583888252615e-06,0.06531821936368942,-0.21563749015331268,-0.14330162107944489,-0.3792884349822998,0.16326579451560974,0.13235217332839966,-0.11282535642385483,0.003564840415492654,0.00010842327901627868,0.0008535164524801075,0.00010722594015533105,-0.003547673812136054,0.003515718039125204,-0.0007385382195934653,-0.12177778780460358,0.20553995668888092,-0.011099967174232006,-0.2232002466917038,-0.07757554948329926,-0.06660717725753784,0.3140393793582916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028078027069568634,-0.23575611412525177,-0.1915307492017746,-0.4641219973564148,0.206440731883049,0.12933917343616486,-0.09800215810537338,0.0,0.0,0.0,0.0,0.003186020301654935,0.0,0.0
8,1783686277.419209,367378.055603,0.050082,0,,,8,-0.08558860421180725,0.19349391758441925,-0.01959359273314476,-0.1404232233762741,-0.07885177433490753,-0.0181900467723608,0.2997749447822571,-0.0007094024331308901,-8.450473251286894e-05,-0.0007069146959111094,-8.410679583903402e-05,-0.0013189490418881178,-0.003644478740170598,-4.730329692392843e-06,0.06511745601892471,-0.21576160192489624,-0.1439027637243271,-0.3786601722240448,0.16915205121040344,0.14547832310199738,-0.11118665337562561,0.0035576659720391035,0.00010952539014397189,0.0008631094824522734,0.00010858545283554122,-0.003520543919876218,0.0035217932891100645,-0.0007399530149996281,-0.12469222396612167,0.20651113986968994,-0.015462135896086693,-0.2232002466917038,-0.07352949678897858,-0.06660717725753784,0.31862547993659973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01649755984544754,-0.24147550761699677,-0.17995594441890717,-0.4681994616985321,0.21749350428581238,0.13608865439891815,-0.08324666321277618,0.005859375,0.0,0.0,0.0,-0.0009149253601208329,-0.0027343749534338713,-0.0027343749534338713
9,1783686277.469241,367378.105611,0.050008,0,,,9,-0.08555639535188675,0.19348734617233276,-0.020766111090779305,-0.1404435783624649,-0.07944006472826004,-0.016995182260870934,0.3016824722290039,-0.0007119348156265914,-8.481917029712349e-05,-0.0007091968436725438,-8.438095392193645e-05,-0.0013229778269305825,-0.0036582406610250473,-4.697944859799463e-06,0.06320849061012268,-0.21586249768733978,-0.14932137727737427,-0.3785378634929657,0.17800767719745636,0.15815168619155884,-0.10711599886417389,0.0035623821895569563,0.00011179252760484815,0.0008786614052951336,0.00011097441165475175,-0.003489701310172677,0.0035332764964550734,-0.0007368952501565218,-0.12032056599855423,0.20651113986968994,-0.011893088929355145,-0.22641900181770325,-0.06786501407623291,-0.0651957243680954,0.3250460624694824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020357714965939522,-0.24052228033542633,-0.19924728572368622,-0.46616074442863464,0.19538795948028564,0.14283812046051025,-0.09531933814287186,0.0,0.0,0.0,0.0,-0.002145209116861224,0.0,0.0
