iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6
0,1783685492.967725,366593.604146,0.000000,1,16,0.085392,0,-0.041214652359485626,0.19332049787044525,0.020971471443772316,-0.13977476954460144,-0.12727239727973938,-0.04804791882634163,0.21583373844623566,-0.00022137317864689976,-1.6551957742194645e-05,-0.00021807281882502139,-1.61248699441785e-05,-0.0012072027893736959,-0.0026861403603106737,-4.2012484300357755e-06,0.17849500477313995,-0.20502761006355286,-0.054710809141397476,-0.36532583832740784,0.1424383968114853,-0.07009641826152802,-0.12341800332069397,0.0008786938269622624,0.00011277505836915225,0.001991530880331993,0.00011291032569715753,0.00010021238267654553,0.0031371398363262415,4.997947598894825e-06,-0.06713207811117172,0.20553995668888092,0.007934950292110443,-0.2232002466917038,-0.10832557082176208,-0.11318495124578476,0.21864818036556244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477428376674652,-0.21097208559513092,-0.10279051959514618,-0.4457734227180481,0.030977962538599968,-0.0776447057723999,-0.11007483303546906,0.0,0.0,0.0,0.0,0.005236492957919836,0.0,0.0
1,1783685492.967973,366593.604503,0.000357,0,,,1,-0.041210196912288666,0.19332024455070496,0.02097141556441784,-0.13977612555027008,-0.12727247178554535,-0.04804955795407295,0.21583445370197296,-0.00022233407071325928,-1.660449561313726e-05,-0.00021904507593717426,-1.6178777514141984e-05,-0.0012121148174628615,-0.0027008671313524246,-4.2006918192782905e-06,0.17849962413311005,-0.20502766966819763,-0.054711923003196716,-0.3653269112110138,0.1424386203289032,-0.07009804993867874,-0.12341905385255814,0.0008826517150737345,0.00011327554966555908,0.0020007623825222254,0.00011341477511450648,0.00010040828783530742,0.0031528931576758623,4.9972813940257765e-06,-0.06348902732133865,0.20553995668888092,-0.008720602840185165,-0.2232002466917038,-0.10185188055038452,-0.11318495124578476,0.23699264228343964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14388269186019897,-0.207159161567688,-0.12208187580108643,-0.4457734227180481,-0.000798759690951556,-0.0798945352435112,-0.09934356063604355,0.0,0.0,0.0,0.0,0.00031535830930806696,0.0,0.0
2,1783685492.982208,366593.618690,0.014187,0,,,2,-0.04120521619915962,0.1933198869228363,0.02097121812403202,-0.13977743685245514,-0.1272726207971573,-0.04805126413702965,0.21583528816699982,-0.00022365807672031224,-1.6677995517966338e-05,-0.00022038516181055456,-1.62542455655057e-05,-0.001218809629790485,-0.002720986492931843,-4.198141596134519e-06,0.17850477993488312,-0.2050277441740036,-0.05471324175596237,-0.365327924489975,0.14243891835212708,-0.07009975612163544,-0.123420350253582,0.0008888497832231224,0.00011405965778976679,0.0020152106881141663,0.00011420519149396569,0.00010070879216073081,0.003177502891048789,4.994527444068808e-06,-0.06567485630512238,0.20359759032726288,0.0011934167705476284,-0.2232002466917038,-0.11318083852529526,-0.11318495124578476,0.22965484857559204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14002253115177155,-0.20811240375041962,-0.12208187580108643,-0.4457734227180481,0.043412331491708755,-0.0663955882191658,-0.10202638059854507,0.0,0.0,0.0,0.0,0.006056682206690311,0.0,0.0
3,1783685493.032238,366593.668734,0.050044,0,,,3,-0.03986454755067825,0.193746417760849,0.015525657683610916,-0.13990217447280884,-0.1266223043203354,-0.048592135310173035,0.21928179264068604,-0.0002095650415867567,-1.4369232303579338e-05,-0.0002061818668153137,-1.392102876707213e-05,-0.0012231034925207496,-0.002726153703406453,-3.5037844554608455e-06,0.17679820954799652,-0.20201614499092102,-0.06172036752104759,-0.3653408885002136,0.12203216552734375,-0.06363111734390259,-0.11902288347482681,0.0009129136451520026,0.00011770007404265925,0.0020298806484788656,0.00011612441448960453,9.667843551142141e-05,0.0032028397545218468,5.5482810239482205e-06,-0.064946249127388,0.20553995668888092,-0.010306845419108868,-0.2232002466917038,-0.10266109555959702,-0.11318495124578476,0.24066153168678284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13230222463607788,-0.20906563103199005,-0.11822360008955002,-0.4498508870601654,0.021306786686182022,-0.07651979476213455,-0.11141623556613922,0.0,0.0,0.0,0.0,0.00113554741255939,0.0,0.0
4,1783685493.082247,366593.718739,0.050006,0,,,4,-0.03459613025188446,0.19365562498569489,-0.0023694487754255533,-0.14003561437129974,-0.1246938705444336,-0.04962746798992157,0.22338014841079712,-0.0001934306783368811,-1.1594473107834347e-05,-0.00019073285511694849,-1.124010668718256e-05,-0.0012292348546907306,-0.002737026661634445,-3.3571907351870323e-06,0.1701621115207672,-0.19765567779541016,-0.08152268081903458,-0.36520522832870483,0.08762691169977188,-0.04568905010819435,-0.11167360842227936,0.0009403406293131411,0.00012188823893666267,0.0020546019077301025,0.000120636606879998,0.00010358350846217945,0.003234745003283024,5.688597411790397e-06,-0.07004651427268982,0.20359759032726288,-0.012686210684478283,-0.2232002466917038,-0.1050887256860733,-0.11318495124578476,0.24433042109012604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14002253115177155,-0.20811240375041962,-0.12979841232299805,-0.44781216979026794,0.04893871769309044,-0.050646811723709106,-0.10739201307296753,0.0,0.0,0.0,0.0,0.004006209317594767,0.0,0.0
5,1783685493.132333,366593.768795,0.050055,0,,,5,-0.03216105327010155,0.19347411394119263,-0.01380229089409113,-0.1398942619562149,-0.1235392615199089,-0.0497187077999115,0.22595901787281036,-0.00019980060460511595,-1.2545508980110753e-05,-0.00019667897140607238,-1.2132295523770154e-05,-0.001234313240274787,-0.002755515743046999,-3.979299890488619e-06,0.16464681923389435,-0.19726242125034332,-0.0912238135933876,-0.36512047052383423,0.07195914536714554,-0.03599020466208458,-0.11099594831466675,0.0009425169555470347,0.00012202831567265093,0.00205421750433743,0.00012109064118703827,0.00011087374878115952,0.0032477346248924732,5.040528776589781e-06,-0.0678606852889061,0.20651113986968994,-0.018238062039017677,-0.2232002466917038,-0.11399005353450775,-0.11318495124578476,0.24066153168678284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14002253115177155,-0.207159161567688,-0.11436533182859421,-0.4539283514022827,0.07242586463689804,-0.02814856357872486,-0.10739201307296753,0.0029296875,0.0,0.0,0.0,0.001545641920529306,0.0,0.0
6,1783685493.182265,366593.818734,0.049939,0,,,6,-0.03194255381822586,0.1930774301290512,-0.024547437205910683,-0.1397230625152588,-0.1223267987370491,-0.04982765018939972,0.2297041416168213,-0.00021458383707795292,-1.479121419833973e-05,-0.00021176044538151473,-1.4432829630095512e-05,-0.0012413692893460393,-0.0027805501595139503,-4.421199264470488e-06,0.16192570328712463,-0.19667379558086395,-0.09905294328927994,-0.3662303388118744,0.06462199985980988,-0.02308005467057228,-0.10985689610242844,0.0009543919004499912,0.0001235607487615198,0.0020648711360991,0.00012345831783022732,0.00012250970758032054,0.0032600800041109324,4.243317562213633e-06,-0.0707751214504242,0.20748233795166016,-0.02775551937520504,-0.2232002466917038,-0.11237163096666336,-0.10753916203975677,0.24983376264572144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14002253115177155,-0.21001885831356049,-0.14523150026798248,-0.4681994616985321,0.09176821261644363,-0.009025052189826965,-0.11007483303546906,0.0,0.0,0.0,0.0,0.001955736428499222,0.0,0.0
7,1783685493.232231,366593.868732,0.049998,0,,,7,-0.032039299607276917,0.19311223924160004,-0.028588447719812393,-0.13970671594142914,-0.12206018716096878,-0.04998312145471573,0.23143692314624786,-0.0002207726356573403,-1.568555126141291e-05,-0.000217720094951801,-1.529307155578863e-05,-0.001246091676875949,-0.0027941951993852854,-4.28078965342138e-06,0.16198496520519257,-0.1961704045534134,-0.09997417032718658,-0.3674042522907257,0.06499355286359787,-0.008590496145188808,-0.10946889966726303,0.0009653063607402146,0.00012392952339723706,0.0020657936111092567,0.00012408135808072984,0.00012628336844500154,0.003270757617428899,4.044974048156291e-06,-0.06640347093343735,0.20359759032726288,-0.03251424804329872,-0.2232002466917038,-0.11237163096666336,-0.10471626371145248,0.25900599360466003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11686159670352936,-0.20906563103199005,-0.13751496374607086,-0.4600445628166199,0.11801855266094208,0.028097057715058327,-0.08324666321277618,0.0,0.0,0.0,0.0,0.001955736428499222,0.0,0.0
8,1783685493.282285,366593.918747,0.050015,0,,,8,-0.0327986516058445,0.19355861842632294,-0.03530807048082352,-0.13970614969730377,-0.12184005975723267,-0.04995931684970856,0.23605914413928986,-0.00022445608919952065,-1.6187243090826087e-05,-0.00022139601060189307,-1.5792782505741343e-05,-0.0012524424819275737,-0.0028110540006309748,-4.0694335439184215e-06,0.16211411356925964,-0.19542190432548523,-0.10505048930644989,-0.37231501936912537,0.07214894890785217,0.014723127707839012,-0.10707144439220428,0.0010042947251349688,0.00012901499576400965,0.0020950946491211653,0.00012944811896886677,0.00012429461639840156,0.0032927331048995256,4.425918177730637e-06,-0.06931790709495544,0.20165522396564484,-0.03330736979842186,-0.2232002466917038,-0.11318083852529526,-0.09765902906656265,0.26084044575691223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12072174996137619,-0.21478502452373505,-0.13751496374607086,-0.45596709847450256,0.13736090064048767,0.04834548011422157,-0.09934356063604355,0.0,0.0,0.0,0.0029296875,-9.47362495935522e-05,0.0,-0.0027343749534338713
9,1783685493.332215,366593.968710,0.049964,0,,,9,-0.032785650342702866,0.19357725977897644,-0.03918309509754181,-0.13971635699272156,-0.12169267982244492,-0.049789849668741226,0.24058030545711517,-0.0002250233810627833,-1.6221822079387493e-05,-0.00022215839999262244,-1.5855774108786136e-05,-0.0012564195785671473,-0.002821562811732292,-3.977632331952918e-06,0.15628619492053986,-0.19537127017974854,-0.11097414046525955,-0.3732829988002777,0.08194968104362488,0.032775599509477615,-0.10245824605226517,0.001011092565022409,0.00012986527872271836,0.0021001927088946104,0.00013092001609038562,0.00012350096949376166,0.003308536484837532,4.468415681913029e-06,-0.07223234325647354,0.20553995668888092,-0.040445465594530106,-0.2232002466917038,-0.11318083852529526,-0.0962475836277008,0.26634377241134644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13616237044334412,-0.21478502452373505,-0.14137323200702667,-0.47023820877075195,0.16775602102279663,0.06859390437602997,-0.10336779057979584,0.0,0.0,0.0,0.0,0.00031535830930806696,0.0,0.0
