iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6
0,1783685398.097820,366498.734246,0.000000,1,16,0.078230,0,-0.11282949894666672,0.18503297865390778,-0.10693847388029099,-0.1403771936893463,-0.019440460950136185,0.011147641576826572,0.3182002604007721,-0.0032453162129968405,-0.00044307683128863573,-0.00324527476914227,-0.00044306705240160227,-0.0018895241664722562,-0.007192437071353197,-4.753132543555694e-06,0.0686512216925621,-0.21137501299381256,-0.03220514580607414,-0.43415454030036926,0.1829739511013031,0.08031230419874191,-0.16008329391479492,0.0003141248016618192,-2.02556051931424e-08,0.00031410474912263453,-2.0255471966379446e-08,0.0008634295081719756,0.00820404663681984,5.516282271855744e-06,-0.14509329199790955,0.19388574361801147,-0.0959639698266983,-0.2232002466917038,-0.025786040350794792,-0.05249269679188728,0.32871493697166443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020357714965939522,-0.2367093414068222,-0.0680660828948021,-0.5334388613700867,0.17880879342556,0.07309355586767197,-0.14226862788200378,0.0,0.0,0.0,0.0,0.00031535830930806696,0.0,0.0
1,1783685398.098073,366498.734601,0.000355,0,,,1,-0.11282950639724731,0.18503297865390778,-0.10693846642971039,-0.1403771936893463,-0.019440459087491035,0.011147642508149147,0.3182002604007721,-0.0032454924657940865,-0.00044309988152235746,-0.0032454514876008034,-0.00044309013173915446,-0.0018895399989560246,-0.007192819379270077,-4.753129815071588e-06,0.0686512142419815,-0.21137501299381256,-0.032205138355493546,-0.43415454030036926,0.1829739511013031,0.08031230419874191,-0.16008329391479492,0.00031414462137036026,-2.0256857524714178e-08,0.00031412465614266694,-2.0256667454532362e-08,0.0008634162950329483,0.008204483427107334,5.5162827266030945e-06,-0.14509329199790955,0.19388574361801147,-0.09517084807157516,-0.2232002466917038,-0.027404461055994034,-0.048258353024721146,0.32871493697166443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020357714965939522,-0.23766258358955383,-0.0680660828948021,-0.5375162959098816,0.16775602102279663,0.05959460511803627,-0.14361003041267395,0.0,0.0,0.0,0.0,-0.0013250198680907488,0.0,0.0
2,1783685398.119553,366498.756069,0.021469,0,,,2,-0.11282950639724731,0.18503299355506897,-0.1069384515285492,-0.14037717878818512,-0.019440459087491035,0.011147644370794296,0.3182002902030945,-0.0032457339111715555,-0.0004431314009707421,-0.0032456929329782724,-0.0004431217093952,-0.0018895616522058845,-0.007193341851234436,-4.753126177092781e-06,0.0686512142419815,-0.21137499809265137,-0.03220512345433235,-0.43415454030036926,0.1829739511013031,0.08031230419874191,-0.16008327901363373,0.00031417186255566776,-2.0252015175969973e-08,0.00031415201374329627,-2.025187129106598e-08,0.0008633981342427433,0.008205080404877663,5.51628045286634e-06,-0.13926440477371216,0.19388574361801147,-0.08961900323629379,-0.2232002466917038,-0.030641306191682816,-0.048258353024721146,0.32688048481941223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012637404724955559,-0.23575611412525177,-0.060349538922309875,-0.529361367225647,0.16084805130958557,0.08434268087148666,-0.16641397774219513,0.0,0.0029296875,0.005190492607653141,0.0029296875,0.003186020301654935,0.0,-0.0027343749534338713
3,1783685398.169634,366498.806113,0.050044,0,,,3,-0.11222267150878906,0.18504084646701813,-0.10699651390314102,-0.14043717086315155,-0.02006208337843418,0.011067905463278294,0.3183552324771881,-0.003244667313992977,-0.00044296085252426565,-0.0032449127174913883,-0.00044299164437688887,-0.0018894360400736332,-0.007191695738583803,-4.6053532969381195e-06,0.06582416594028473,-0.21366295218467712,-0.03290235251188278,-0.4359779357910156,0.18270792067050934,0.08676810562610626,-0.1584012359380722,0.0003130868135485798,-1.226292170031229e-07,0.00031093601137399673,-2.5833139716269216e-07,0.0008499812101945281,0.008210113272070885,5.800224244012497e-06,-0.14217884838581085,0.19291454553604126,-0.09437772631645203,-0.2232002466917038,-0.03549657389521599,-0.04543545842170715,0.32688048481941223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024217870086431503,-0.23766258358955383,-0.0680660828948021,-0.529361367225647,0.16222964227199554,0.06859390437602997,-0.148975670337677,0.0,0.0,0.0,0.0,-0.002145209116861224,0.0,0.0
4,1783685398.219460,366498.855959,0.049846,0,,,4,-0.10805797576904297,0.18502619862556458,-0.10704902559518814,-0.14072640240192413,-0.02391689643263817,0.010809105820953846,0.3187337815761566,-0.0032475211191922426,-0.0004434525908436626,-0.003248448483645916,-0.000443578464910388,-0.0018890530336648226,-0.007187258452177048,-4.3913287299801596e-06,0.05433506518602371,-0.2190093994140625,-0.03642715886235237,-0.4420340955257416,0.1804194301366806,0.1045256108045578,-0.15708036720752716,0.00031726606539450586,7.6261362664808985e-06,0.000327323010424152,7.49940272726235e-06,0.0008274918072856963,0.008218970149755478,3.029030722245807e-06,-0.1378071904182434,0.19194336235523224,-0.09675709158182144,-0.2232002466917038,-0.03549657389521599,-0.0468469075858593,0.32688048481941223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008777249604463577,-0.23575611412525177,-0.06420780718326569,-0.5334388613700867,0.18157199025154114,0.07984302937984467,-0.1529998928308487,0.0,0.0,0.0,0.0,-0.0009149253601208329,0.0,0.0
5,1783685398.269622,366498.906098,0.050139,0,,,5,-0.10529465973377228,0.18494150042533875,-0.1074214056134224,-0.14066697657108307,-0.027513116598129272,0.010899011977016926,0.3189202845096588,-0.0032504512928426266,-0.00044393111602403224,-0.0032514254562556744,-0.00044406624510884285,-0.0018892132211476564,-0.00718890642747283,-4.629805061995285e-06,0.05145448446273804,-0.2209462821483612,-0.03935149684548378,-0.4455846846103668,0.17909452319145203,0.11043816059827805,-0.15633182227611542,0.00031857058638706803,1.1419008842494804e-05,0.00033579274895600975,1.1426376659073867e-05,0.0008025201386772096,0.008210670202970505,2.020704641836346e-06,-0.1407216340303421,0.1900009959936142,-0.09913645684719086,-0.2232002466917038,-0.03549657389521599,-0.048258353024721146,0.32779771089553833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008777249604463577,-0.23766258358955383,-0.060349538922309875,-0.5375162959098816,0.1926247626543045,0.07759320735931396,-0.15568271279335022,0.0029296875,0.0,0.0025952463038265705,0.0,0.003596114693209529,0.0,-0.004101562313735485
6,1783685398.319517,366498.955981,0.049883,0,,,6,-0.10218734294176102,0.1848072111606598,-0.10776198655366898,-0.14058159291744232,-0.03091368079185486,0.010989225469529629,0.3193400800228119,-0.0032437429763376713,-0.00044285441981628537,-0.0032443732488900423,-0.00044293998507782817,-0.0018893780652433634,-0.007187948562204838,-4.591473043547012e-06,0.04603079706430435,-0.2214675396680832,-0.04069013148546219,-0.4472404420375824,0.17925678193569183,0.11917722225189209,-0.15581822395324707,0.0003168528783135116,1.0971070878440514e-05,0.0003355555236339569,1.1213591278647073e-05,0.0007620376418344676,0.0082128020003438,3.2243285659205867e-06,-0.14217884838581085,0.19388574361801147,-0.09834333509206772,-0.2232002466917038,-0.03873341903090477,-0.04402400925755501,0.337887167930603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004917094483971596,-0.23480288684368134,-0.0680660828948021,-0.529361367225647,0.17880879342556,0.09109215438365936,-0.1449514478445053,0.005859375,0.0,0.0,0.0,-0.0005048307939432561,0.0,0.0
7,1783685398.369475,366499.005956,0.049975,0,,,7,-0.10165883600711823,0.1844186633825302,-0.10867097973823547,-0.14047087728977203,-0.032401781529188156,0.011048220098018646,0.3197035491466522,-0.0032407355029135942,-0.000442382792243734,-0.0032415094319730997,-0.00044249542406760156,-0.0018897359259426594,-0.0071886274963617325,-4.675784566643415e-06,0.04297652840614319,-0.2216535210609436,-0.04071246460080147,-0.4487384557723999,0.18052831292152405,0.12345023453235626,-0.15569470822811127,0.0003265170962549746,1.1018155419151299e-05,0.0003434254031162709,1.1332038411637768e-05,0.0007567125139757991,0.008210527710616589,-3.1464205676456913e-06,-0.1436360627412796,0.19097217917442322,-0.10389518737792969,-0.2232002466917038,-0.032259728759527206,-0.048258353024721146,0.3305493891239166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012637404724955559,-0.2338496595621109,-0.0680660828948021,-0.529361367225647,0.17604561150074005,0.09559180587530136,-0.1529998928308487,0.005859375,0.0,0.0,0.0,0.003596114693209529,0.0,-0.0027343749534338713
8,1783685398.419512,366499.055980,0.050024,0,,,8,-0.10173209756612778,0.184281587600708,-0.11057008802890778,-0.14041274785995483,-0.034705039113759995,0.011190976947546005,0.32249242067337036,-0.0032408111728727818,-0.00044243159936740994,-0.0032412779983133078,-0.0004424993821885437,-0.0018898638663813472,-0.007187924347817898,-4.632676336768782e-06,0.03891723230481148,-0.22170943021774292,-0.04116757959127426,-0.44973722100257874,0.1812513768672943,0.1309671550989151,-0.15361468493938446,0.00036017782986164093,1.1862179235322401e-05,0.00035241444129496813,1.2029258869006298e-05,0.000739042297936976,0.008209006860852242,-4.320384050515713e-06,-0.14217884838581085,0.19194336235523224,-0.10548143088817596,-0.2232002466917038,-0.0338781513273716,-0.04402400925755501,0.334218293428421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01649755984544754,-0.2395690381526947,-0.056491266936063766,-0.525283932685852,0.17051921784877777,0.10459110140800476,-0.16104833781719208,0.0,0.0,0.0,0.0,0.002775925677269697,0.0,-0.0027343749534338713
9,1783685398.469484,366499.105946,0.049966,0,,,9,-0.10188567638397217,0.1842217594385147,-0.11181968450546265,-0.14040149748325348,-0.035223338752985,0.011194014921784401,0.3230952024459839,-0.003236116375774145,-0.00044166846782900393,-0.0032364551443606615,-0.00044171730405651033,-0.0018898932030424476,-0.0071856300346553326,-4.4876610445498955e-06,0.03895742818713188,-0.22166381776332855,-0.04140791296958923,-0.449832558631897,0.1812131404876709,0.13572020828723907,-0.15328611433506012,0.0003848420747090131,1.2615046216524206e-05,0.0003569109831005335,1.2732658433378674e-05,0.0007380429306067526,0.008206569589674473,-7.347420705627883e-06,-0.13926440477371216,0.19194336235523224,-0.10230894386768341,-0.2232002466917038,-0.04035183787345886,-0.0468469075858593,0.33605271577835083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006663371343165636,-0.2367093414068222,-0.0680660828948021,-0.5456712245941162,0.1732824146747589,0.09559180587530136,-0.15031707286834717,0.0,0.0,0.0,0.0,-0.002145209116861224,0.0,-0.0013671874767169356
